Task,Condition,SSRT,mean_SSD,p_respond,mean_go_RT,sd_go_RT,mean_stopfail_RT,sd_stopfail_RT,omission_rate,go_acc,stopfail_acc,PSS_all
single_task,,234.21,416.73,0.489,659.11,115.281,587.952,87.288,0.003,0.988,0.994,0.557
cued_task_switching,cue_stay_task_stay,263.672,467.578,0.508,747.735,140.346,668.497,107.569,0.024,0.923,0.956,1.338
cued_task_switching,cue_switch_task_switch,269.516,481.172,0.486,770.982,140.865,695.564,108.838,0.022,0.895,0.927,2.49
cued_task_switching,['cue_switch_task_stay'],263.25,472.031,0.452,771.713,144.204,686.699,94.482,0.017,0.917,0.956,28.723
directed_forgetting,con,336.545,263.939,0.562,605.958,133.147,562.482,109.708,0.01,0.969,0.967,-2.763
directed_forgetting,neg,339.955,260.833,0.508,625.077,155.077,566.144,113.913,0.009,0.907,0.919,4.757
directed_forgetting,['pos'],305.758,265.606,0.561,562.989,144.996,526.307,135.68,0.005,0.901,0.846,-3.125
flanker,congruent,237.844,363.712,0.489,626.215,119.804,562.105,85.825,0.006,0.992,0.991,6.553
flanker,incongruent,238.531,387.955,0.482,647.036,116.965,592.648,91.8,0.007,0.979,0.975,4.29
n_back,1.0,256.845,444.579,0.494,715.818,156.168,641.567,112.976,0.01,0.914,0.915,16.767
n_back,2.0,295.347,404.562,0.458,734.391,179.593,641.22,156.667,0.006,0.8,0.868,-5.693
n_back,[3.0],277.396,427.727,0.462,740.143,177.547,630.119,147.209,0.019,0.719,0.733,6.07
predictable_task_switching,stay,238.576,457.031,0.495,704.717,140.953,628.207,98.182,0.01,0.916,0.934,-0.756
predictable_task_switching,switch,248.47,483.594,0.487,757.939,161.725,655.446,124.615,0.008,0.88,0.913,21.725
shape_matching,control,268.333,390.758,0.489,682.303,117.435,632.131,100.554,0.002,0.974,0.977,0.253
shape_matching,distractor,269.429,419.874,0.493,709.413,123.34,655.783,103.699,0.004,0.963,0.967,7.642
shape_matching,"['DSD', 'SSS']",264.727,412.879,0.491,696.752,119.58,642.13,102.612,0.006,0.977,0.984,13.764
